Respondent_ID,Age,Gender,Background,Domestication,PetVaccination,DogBite,Death,DogSpread,Transmission,PreventableVaccination,Campaign,SelfVaccination,PreVaccination,PostVaccination,Signs,Rabid,Doctor,Facilities,Affected,AffordableVaccination,PreferVaccination
Respondent12,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1
Respondent26,1,2,2,2,2,1,2,1,2,1,2,2,2,1,1,1,1,2,2,2,1
Respondent40,1,2,2,2,2,1,1,2,1,1,2,2,2,1,1,1,1,1,2,2,1
Respondent50,1,2,2,2,2,1,1,1,2,1,2,2,1,1,1,1,1,2,2,2,1
Respondent60,1,2,1,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1
Respondent69,1,2,2,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1
Respondent80,1,2,2,2,2,1,1,1,2,1,2,2,1,1,1,2,1,2,1,2,1
Respondent110,1,2,1,2,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1
Respondent125,1,1,2,1,2,1,2,1,1,1,1,2,2,1,1,2,1,2,2,2,1
Respondent127,1,1,2,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1
Respondent131,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2
Respondent138,1,1,2,1,1,1,2,1,1,2,2,2,1,2,1,2,1,2,1,2,1
Respondent140,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,2,1,1
Respondent145,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
Respondent146,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1
Respondent151,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,2,1,1
Respondent152,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,2,1,1
Respondent153,1,1,2,1,2,1,1,1,2,1,2,2,1,1,1,1,1,2,2,1,1
Respondent156,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,1,2,1
Respondent162,1,1,1,2,2,1,1,1,1,1,2,2,1,2,1,2,1,1,2,1,2
Respondent165,1,1,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,2,1,2,1
Respondent168,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,2,1,1,1,2,1
Respondent175,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1
Respondent178,1,1,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,1,2,2,1
Respondent200,1,1,2,1,2,1,1,1,2,2,2,2,2,1,1,2,1,1,2,2,1
Respondent213,1,1,1,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1
Respondent214,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1
Respondent215,1,1,1,1,2,1,2,1,2,1,2,2,2,2,1,1,1,2,2,2,1
Respondent217,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1
