Respondent_ID,Age,Gender,Background,Domestication,PetVaccination,DogBite,Death,DogSpread,Transmission,PreventableVaccination,Campaign,SelfVaccination,PreVaccination,PostVaccination,Signs,Rabid,Doctor,Facilities,Affected,AffordableVaccination,PreferVaccination
Respondent833,2,1,2,1,2,1,1,1,1,1,2,2,2,1,2,2,2,2,1,2,1
Respondent834,2,1,2,1,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,1
Respondent835,2,1,2,1,2,1,1,1,2,1,2,2,1,1,1,2,2,2,2,1,1
Respondent836,2,1,2,1,2,1,1,1,1,1,2,2,1,1,1,2,2,1,2,2,2
Respondent839,2,1,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1
Respondent840,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1
Respondent841,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,2,2,1
Respondent842,2,1,2,2,1,1,1,1,2,1,2,2,2,2,1,1,2,1,2,1,2
Respondent844,2,1,2,2,2,1,1,1,1,1,2,2,2,1,1,2,2,1,2,2,1
Respondent851,2,1,1,2,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,1,2
Respondent852,2,1,2,2,2,1,1,1,2,1,2,2,1,1,1,1,1,2,2,1,1
Respondent856,2,1,2,2,2,1,1,1,1,2,2,2,1,1,2,1,1,2,2,2,1
Respondent857,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1
Respondent858,2,1,1,1,2,1,1,1,2,2,2,2,2,1,1,2,1,2,2,2,1
Respondent859,2,1,2,2,2,1,1,1,1,1,2,2,1,1,2,1,2,1,2,1,1
Respondent862,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1
Respondent863,2,1,1,1,2,1,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1
Respondent864,2,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,2,1,2,1,1
Respondent865,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1
Respondent866,2,1,1,1,2,1,1,1,2,1,2,2,2,2,1,1,1,2,2,2,2
Respondent867,2,1,1,1,2,1,2,1,2,1,2,2,2,1,2,2,2,2,1,1,1
Respondent868,2,1,1,1,2,1,1,1,1,1,2,2,2,1,2,1,2,2,2,2,1
Respondent869,2,1,2,2,2,1,1,1,1,1,2,2,1,2,1,1,2,2,1,1,1
Respondent870,2,1,1,2,2,1,1,1,1,1,2,2,1,1,2,1,2,1,2,1,1
Respondent871,2,1,2,1,2,1,1,1,1,1,2,2,2,1,2,1,2,1,2,1,1
Respondent872,2,1,1,1,2,1,2,1,1,1,2,2,2,1,2,2,1,2,1,1,1
Respondent873,2,1,1,1,2,1,1,1,1,1,2,2,1,2,2,2,2,2,1,1,1
Respondent874,2,1,1,1,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1
Respondent875,2,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1
Respondent876,2,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,2,2,2,2,1
Respondent877,2,1,1,1,2,1,1,2,1,2,2,2,2,1,2,2,1,1,2,2,1
Respondent878,2,1,1,1,2,1,2,2,1,1,2,2,2,1,2,1,2,1,2,1,1
Respondent879,2,1,1,1,2,1,2,2,1,2,2,2,2,1,2,2,1,1,2,2,1
Respondent880,2,1,1,1,2,1,1,2,1,2,2,2,2,1,2,2,1,1,2,2,1
Respondent881,2,1,1,1,2,1,1,1,1,1,2,2,2,1,2,1,2,1,1,1,1
Respondent882,2,1,1,2,1,1,1,1,2,2,1,2,1,2,1,2,1,2,1,1,2
Respondent883,2,1,1,1,1,1,2,1,2,2,1,2,1,2,1,2,1,1,2,2,1
Respondent884,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,2,1
Respondent885,2,1,1,1,1,1,2,1,1,1,2,1,2,2,1,2,1,2,1,2,1
Respondent886,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,1,2,1
Respondent887,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,2,1,1,2
Respondent888,2,1,1,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,2,2
Respondent889,2,1,1,1,1,1,2,2,2,2,2,1,1,2,1,2,2,2,1,1,1
Respondent890,2,1,1,1,1,1,1,2,NA,2,1,1,2,2,2,2,2,2,2,2,2
Respondent891,2,1,1,1,2,1,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2
Respondent892,2,1,2,1,2,1,2,2,1,1,2,1,2,1,1,2,1,2,1,2,2
